City,Count of Customer ID,Customer Name,Customer Segment,Sum of Discount,Year,Quarter,Month,Day,Count of Order ID,Order Priority,Count of Postal Code,Sum of Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Sum of Profit,Sum of Quantity ordered new,Region,Count of Row ID,Sum of Sales,Year,Quarter,Month,Day,Ship Mode,Sum of Shipping Cost,State or Province,Sum of Unit Price
Aberdeen,1,Gerald Crabtree,Corporate,0.1,2010,Qtr 4,December,27,1,Not Specified,1,0.56,Office Supplies,Large Box,"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Appliances,-286.245,6,Central,1,40.69,2010,Qtr 4,December,28,Regular Air,49,South Dakota,3.25
Aberdeen,1,Gerald Crabtree,Corporate,0.05,2012,Qtr 3,September,15,1,High,1,0.36,Office Supplies,Small Box,Xerox 1984,Paper,-172.35,19,Central,1,130.69,2012,Qtr 3,September,17,Regular Air,8.74,South Dakota,6.48
Aberdeen,1,Gerald Crabtree,Corporate,0.03,2012,Qtr 3,September,15,1,High,1,0.4,Office Supplies,Wrap Bag,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Paper,44.59,11,Central,1,79.77,2012,Qtr 3,September,15,Regular Air,1.71,South Dakota,7.4
Aberdeen,1,Gerald Crabtree,Corporate,0.07,2012,Qtr 4,October,22,1,High,1,0.38,Office Supplies,Small Box,Avery Arch Ring Binders,Binders and Binder Accessories,499.215,13,Central,1,723.5,2012,Qtr 4,October,23,Regular Air,1.49,South Dakota,58.1
Aberdeen,1,Gerald Crabtree,Corporate,0.07,2013,Qtr 3,July,14,1,Not Specified,1,0.38,Office Supplies,Small Box,GBC DocuBind TL200 Manual Binding Machine,Binders and Binder Accessories,1230.3113999999998,8,Central,1,1783.06,2013,Qtr 3,July,14,Regular Air,15.01,South Dakota,223.98
Aberdeen,1,Gerald Crabtree,Corporate,0,2013,Qtr 4,December,27,1,Not Specified,1,0.56,Furniture,Jumbo Drum,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,1096.37632,8,Central,1,2538.68,2013,Qtr 4,December,28,Delivery Truck,64.73,South Dakota,300.98
Abilene,1,Marvin Hunt,Home Office,0,2010,Qtr 4,November,21,1,Critical,1,0.58,Office Supplies,Small Box,Staples 6 Outlet Surge,Appliances,3.384000000000004,4,Central,1,53.3,2010,Qtr 4,November,24,Regular Air,4.98,Texas,11.97
Abilene,1,Marvin Hunt,Small Business,0.03,2012,Qtr 1,January,27,1,High,1,0.37,Office Supplies,Small Box,Xerox 229,Paper,-44.615199999999994,5,Central,1,34.94,2012,Qtr 1,January,29,Regular Air,5.87,Texas,6.48
Abilene,1,Marvin Hunt,Small Business,0,2012,Qtr 1,January,27,1,High,1,0.38,Office Supplies,Wrap Bag,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,267.9684,10,Central,1,388.36,2012,Qtr 1,January,28,Regular Air,5.08,Texas,37.94
Abilene,1,Marvin Hunt,Small Business,0.04,2012,Qtr 1,January,27,1,High,1,0.59,Technology,Small Box,2160i,Telephones and Communication,1038.59244,10,Central,1,1656.48,2012,Qtr 1,January,28,Regular Air,4.2,Texas,200.99
Abilene,1,Marvin Hunt,Small Business,0.01,2012,Qtr 1,January,27,1,High,1,0.76,Technology,Small Box,Fellowes EZ Multi-Media Keyboard,Computer Peripherals,-21.179199999999998,13,Central,1,476.76,2012,Qtr 1,January,28,Express Air,7.53,Texas,34.98
Abilene,1,Marvin Hunt,Small Business,0.1,2012,Qtr 2,April,9,1,Critical,1,0.58,Office Supplies,Wrap Bag,Newell 327,Pens & Art Supplies,-6.85,6,Central,1,13.72,2012,Qtr 2,April,10,Express Air,1.12,Texas,2.21
Abilene,1,Marvin Hunt,Small Business,0.04,2013,Qtr 2,May,8,1,Critical,1,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,199.25,6,Central,1,1326.78,2013,Qtr 2,May,9,Delivery Truck,52.2,Texas,212.6
Abington,1,Sheryl Kirk,Small Business,0.08,2011,Qtr 2,June,27,1,Not Specified,1,0.58,Office Supplies,Small Pack,Boston 19500 Mighty Mite Electric Pencil Sharpener,Pens & Art Supplies,-34.088,4,East,1,81.87,2011,Qtr 2,June,28,Regular Air,8.99,Massachusetts,20.15
Acton,1,Herman Ray,Small Business,0,2012,Qtr 1,January,24,1,Medium,1,0.36,Office Supplies,Small Box,Tuff Stuff™ Recycled Round Ring Binders,Binders and Binder Accessories,14.4058,5,East,1,25,2012,Qtr 1,January,26,Regular Air,1.49,Massachusetts,4.82
Addison,1,Janice Fletcher,Corporate,0.01,2012,Qtr 2,May,28,1,Not Specified,1,0.36,Office Supplies,Small Box,Avery 49,Labels,1.32,2,Central,1,5.9,2012,Qtr 2,May,30,Regular Air,0.5,Illinois,2.88
Addison,1,Jonathan Crabtree,Corporate,0.1,2010,Qtr 3,August,15,1,High,1,0.38,Office Supplies,Small Box,Self-Adhesive Address Labels for Typewriters by Universal,Labels,55.020599999999995,12,Central,1,79.74,2010,Qtr 3,August,16,Regular Air,0.49,Illinois,7.31
Addison,1,Jonathan Crabtree,Corporate,0.1,2010,Qtr 3,August,15,1,High,1,0.81,Technology,Wrap Bag,Accessory37,Telephones and Communication,-43.65504,23,Central,1,392.45,2010,Qtr 3,August,16,Regular Air,2.5,Illinois,20.99
Addison,1,Jonathan Crabtree,Corporate,0.02,2013,Qtr 3,August,15,1,High,1,0.39,Office Supplies,Small Box,Avery 494,Labels,12.7857,7,Central,1,18.53,2013,Qtr 3,August,18,Regular Air,0.5,Illinois,2.61
Adrian,1,Steven Long,Consumer,0.07,2010,Qtr 2,June,25,1,Not Specified,1,0.61,Furniture,Large Box,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Office Furnishings,710.6723999999999,10,Central,1,1029.96,2010,Qtr 2,June,26,Express Air,24.49,Michigan,105.34
Adrian,1,Steven Long,Consumer,0.05,2012,Qtr 1,January,10,1,Critical,1,0.37,Technology,Large Box,Canon imageCLASS 2200 Advanced Copier,Copiers and Fax,-485.98080000000004,2,Central,1,6915.98,2012,Qtr 1,January,12,Regular Air,24.49,Michigan,3499.99
