Customer Segment,Sum of Discount,Discount Adjusted Sales,Count of Employee ID,Year,Quarter,Month,Day,Notes,Sum of Order Date - Month,Sum of Order Date - Quarter,Sum of Order Date - Year,Count of Order DetailsNew.ID,Count of Order DetailsNew.Order ID,Count of Order ID,Year,Quarter,Month,Day,Payment Type,Count of Product ID,Product Rank,Profit Proxy,Sum of Quantity,Regional Performance Index,Ship Address,Ship City,Ship Country/Region,Ship Name,Ship State/Province,Ship ZIP/Postal Code,Year,Quarter,Month,Day,Count of Shipper ID,Sum of Shipping Fee,Count of Status ID,Sum of Tax Rate,Sum of Tax Status,Sum of Taxes,Total Sales,Sum of Unit Price,Count of Customer ID
High,0,13800,1,2006,Qtr 1,March,10,,3,1,2006,1,1,1,2006,Qtr 1,March,10,Check,1,4968.2,2760,300,4968.2,789 28th Street,Memphis,USA,Amritansh Raghav,TN,99999,2006,Qtr 1,March,11,1,USh10,1,0,,USh0,13800,USh46,1
High,0,13800,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,4968.2,2760,300,4968.2,123 7th Street,Boise,USA,Ming-Yang Xie,ID,99999,,,,,,USh0,1,0,,USh0,13800,USh46,1
Low,0,0,2,2006,Qtr 2,April,25,,8,4,4012,2,2,2,,,,,,2,0.2,0,0,0.2,123 3rd Street,Los Angelas,USA,Thomas Axen,CA,99999,,,,,,USh0,2,0,,USh0,0,USh40.99,2
Low,0,1000,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Check,1,360.2,200,25,360.2,123 8th Street,Portland,USA,Elizabeth Andersen,OR,99999,2006,Qtr 2,April,5,1,USh50,1,0,,USh0,1000,USh40,1
Low,0,105,1,2006,Qtr 1,January,15,,1,1,2006,1,1,1,2006,Qtr 1,January,15,Check,1,38,21,30,38,789 27th Street,Las Vegas,USA,Karen Toh,NV,99999,2006,Qtr 1,January,22,1,USh200,1,0,,USh0,105,USh3.5,1
Low,0,1150,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,414.2,230,25,414.2,123 1st Street,Seattle,USA,Anna Bedecs,WA,99999,,,,,,USh0,1,0,,USh0,1150,USh46,1
Low,0,120,1,2006,Qtr 2,April,25,,4,2,2006,1,1,1,2006,Qtr 2,April,25,Cash,1,43.4,24,3,43.4,123 3rd Street,Los Angelas,USA,Thomas Axen,CA,99999,2006,Qtr 2,April,25,1,USh7,1,0,,USh0,120,USh40,1
Low,0,1218,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Check,1,438.68,243.6,87,438.68,789 29th Street,Denver,USA,Soo Jung Lee,CO,99999,2006,Qtr 2,April,5,1,USh200,1,0,,USh0,1218,USh14,1
Low,0,127.5,1,2006,Qtr 1,February,10,,2,1,2006,1,1,1,2006,Qtr 1,February,10,Check,1,46.1,25.5,10,46.1,789 29th Street,Denver,USA,Soo Jung Lee,CO,99999,2006,Qtr 1,February,12,1,USh7,1,0,,USh0,127.5,USh12.75,1
Low,0,127.5,1,2006,Qtr 2,April,3,,4,2,2006,1,1,1,2006,Qtr 2,April,3,Check,1,46.1,25.5,10,46.1,123 6th Street,Milwaukee,USA,Francisco Pérez-Olaeta,WI,99999,2006,Qtr 2,April,3,1,USh0,1,0,,USh0,127.5,USh12.75,1
Low,0,1275,1,2006,Qtr 1,March,22,,3,1,2006,1,1,1,2006,Qtr 1,March,22,Check,1,459.2,255,100,459.2,123 8th Street,Portland,USA,Elizabeth Andersen,OR,99999,2006,Qtr 1,March,24,1,USh5,1,0,,USh0,1275,USh12.75,1
Low,0,1392,1,2006,Qtr 2,April,30,,4,2,2006,1,1,1,2006,Qtr 2,April,30,Credit Card,1,501.32,278.4,40,501.32,123 8th Street,Portland,USA,Elizabeth Andersen,OR,99999,2006,Qtr 2,April,30,1,USh50,1,0,,USh0,1392,USh34.8,1
Low,0,1400,1,2006,Qtr 1,January,15,,1,1,2006,1,1,1,2006,Qtr 1,January,15,Check,1,504.2,280,100,504.2,789 27th Street,Las Vegas,USA,Karen Toh,NV,99999,2006,Qtr 1,January,22,1,USh200,1,0,,USh0,1400,USh14,1
Low,0,149.5,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,54.02,29.9,50,54.02,123 11th Street,Miami,USA,Peter Krschne,FL,99999,,,,,1,USh0,1,0,,USh0,149.5,USh2.99,1
Low,0,1560,1,2006,Qtr 2,June,5,,6,2,2006,1,1,1,2006,Qtr 2,June,5,Check,1,561.8,312,40,561.8,789 29th Street,Denver,USA,Soo Jung Lee,CO,99999,2006,Qtr 2,June,5,1,USh200,1,0,,USh0,1560,USh39,1
Low,0,1590,1,2006,Qtr 2,June,23,,6,2,2006,1,1,1,2006,Qtr 2,June,23,Check,1,572.6,318,30,572.6,123 6th Street,Milwaukee,USA,Francisco Pérez-Olaeta,WI,99999,2006,Qtr 2,June,23,1,USh0,1,0,,USh0,1590,USh53,1
Low,0,1740,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Check,1,626.6,348,50,626.6,123 9th Street,Salt Lake City,USA,Sven Mortensen,UT,99999,2006,Qtr 2,April,5,1,USh100,1,0,,USh0,1740,USh34.8,1
Low,0,184,1,2006,Qtr 1,February,6,,2,1,2006,1,1,1,2006,Qtr 1,February,6,Check,1,66.44,36.8,20,66.44,123 4th Street,New York,USA,Christina Lee,NY,99999,2006,Qtr 1,February,7,1,USh4,1,0,,USh0,184,USh9.2,1
Low,0,1930,1,2006,Qtr 1,February,23,,2,1,2006,1,1,1,2006,Qtr 1,February,23,Cash,1,695,386,200,695,123 3rd Street,Los Angelas,USA,Thomas Axen,CA,99999,2006,Qtr 1,February,25,1,USh7,1,0,,USh0,1930,USh9.65,1
Low,0,1950,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Check,1,702.2,390,100,702.2,123 9th Street,Salt Lake City,USA,Sven Mortensen,UT,99999,2006,Qtr 2,April,5,1,USh100,1,0,,USh0,1950,USh19.5,1
Low,0,200,1,2006,Qtr 2,April,5,,4,2,2006,1,1,1,2006,Qtr 2,April,5,Cash,1,72.2,40,20,72.2,789 25th Street,Chicago,USA,John Rodman,IL,99999,2006,Qtr 2,April,5,1,USh5,1,0,,USh0,200,USh10,1
Low,0,200,1,2006,Qtr 2,May,24,,5,2,2006,1,1,1,2006,Qtr 2,May,24,Credit Card,1,72.2,40,20,72.2,123 10th Street,Chicago,USA,Roland Wacker,IL,99999,2006,Qtr 2,May,24,1,USh9,1,0,,USh0,200,USh10,1
Low,0,220,1,2006,Qtr 1,March,24,,3,1,2006,1,1,1,,,,,,1,79.4,44,10,79.4,123 10th Street,Chicago,USA,Roland Wacker,IL,99999,2006,Qtr 2,April,7,1,USh0,1,0,,USh0,220,USh22,1
Low,0,2250,1,2006,Qtr 2,June,5,,6,2,2006,1,1,1,2006,Qtr 2,June,5,Credit Card,1,810.2,450,90,810.2,789 26th Street,Miami,USA,Run Liu,FL,99999,2006,Qtr 2,June,5,1,USh60,1,0,,USh0,2250,USh25,1
