City Name,Customer ID,Customer Name,Customer Segment,Sum of Discount,First Name,Manager Performance Class,Year,Quarter,Month,Day,Count of Order ID,Product Category,Product Container,Product Name,Product Sub-Category,Sum of Profit,Region Code,Sum of Sales,Year,Quarter,Month,Day,Ship Mode,Sum of Shipping Cost,State,Sum of Unit Price,Count of Zip Code
Albany,260,Brenda Gonzalez,Corporate,0.03,Erin,Low,2011,Qtr 2,April,24,1,Furniture,Jumbo Box,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Bookcases,583.15,EAST,1576.52,2011,Qtr 2,April,25,Delivery Truck,35.89,New York,170.98,1
Albany,260,Brenda Gonzalez,Corporate,0,Erin,Low,2011,Qtr 2,April,24,1,Technology,Medium Box,1726 Digital Answering Machine,Telephones and Communication,-52.239000000000004,EAST,57.96,2011,Qtr 2,April,26,Regular Air,4.81,New York,20.99,1
Albany,2416,Neil Waller,Consumer,0.1,Erin,Low,2013,Qtr 4,November,23,1,Furniture,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,Chairs & Chairmats,41.713600000000014,EAST,129.88,2013,Qtr 4,November,24,Delivery Truck,30,New York,110.98,1
Altamonte Springs,1172,Bill Hudson,Consumer,0.01,Sam,Low,2012,Qtr 3,August,8,1,Office Supplies,Small Box,Xerox 1893,Paper,-296.114,SOUTH,869.24,2012,Qtr 3,August,9,Regular Air,17.48,Florida,40.99,1
Altamonte Springs,1178,Sandy Hunt,Consumer,0.06,Sam,Low,2010,Qtr 2,April,9,1,Furniture,Jumbo Drum,Global Leather Executive Chair,Chairs & Chairmats,-302.6156,SOUTH,3506.78,2010,Qtr 2,April,11,Delivery Truck,39,Florida,350.99,1
Altamonte Springs,1178,Sandy Hunt,Consumer,0.09,Sam,Low,2010,Qtr 2,April,9,1,Furniture,Jumbo Drum,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,-369.10999999999996,SOUTH,2307.26,2010,Qtr 2,April,10,Delivery Truck,60,Florida,349.45,1
Altamonte Springs,1178,Sandy Hunt,Consumer,0.03,Sam,Low,2010,Qtr 2,April,9,1,Office Supplies,Large Box,Hoover Portapower™ Portable Vacuum,Appliances,64.26599999999999,SOUTH,21.46,2010,Qtr 2,April,11,Regular Air,49,Florida,4.48,1
Altamonte Springs,1178,Sandy Hunt,Consumer,0.09,Sam,Low,2010,Qtr 2,April,9,1,Technology,Small Box,Targus USB Numeric Keypad,Computer Peripherals,5.6916,SOUTH,267.69,2010,Qtr 2,April,11,Express Air,6.5,Florida,40.98,1
Altamonte Springs,1178,Sandy Hunt,Consumer,0.09,Sam,Low,2011,Qtr 1,January,1,1,Technology,Medium Box,"Soundgear Copyboard Conference Phone, Optional Battery",Office Machines,-71.176,SOUTH,397.7,2011,Qtr 1,January,3,Express Air,13.99,Florida,204.1,1
Anaheim,2400,Anita Boyle,Consumer,0,William,Low,2012,Qtr 2,June,22,1,Office Supplies,Small Box,Fellowes Staxonsteel® Drawer Files,Storage & Organization,1975.7160000000001,WEST,3825.29,2012,Qtr 2,June,22,Regular Air,19.99,California,193.17,1
Anaheim,2400,Anita Boyle,Consumer,0.02,William,Low,2013,Qtr 1,January,16,1,Office Supplies,Small Box,Avery 491,Labels,19.941,WEST,28.9,2013,Qtr 1,January,17,Regular Air,0.99,California,4.13,1
